ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
CEACAM1,1.145041769,5.44360978,11.47202625,4.30E-26,1.69E-24,48.48290979
P2RX1,-1.242711733,5.609424051,-11.4536343,5.02E-26,1.93E-24,48.33010075
CTSK,1.502483413,8.204838344,11.42428628,6.42E-26,2.44E-24,48.08649348
LCN2,1.874538109,8.335274942,11.40436847,7.59E-26,2.86E-24,47.9213249
GREM1,1.686520736,7.574932936,11.3877238,8.73E-26,3.22E-24,47.78339966
ENTPD1,1.13643602,6.018309338,11.38202688,9.16E-26,3.37E-24,47.73621357
C5,-1.380692676,5.567792175,-11.3813738,9.21E-26,3.38E-24,47.73080496
TMPRSS3,1.100729805,5.416962568,11.37531076,9.69E-26,3.53E-24,47.68059959
MALL,1.303744972,6.680615841,11.36906937,1.02E-25,3.70E-24,47.62893015
LEMD1,1.11586793,3.968865552,11.32372702,1.49E-25,5.24E-24,47.25395439
OLFML2B,1.462512779,6.593945968,11.3051843,1.74E-25,6.07E-24,47.10080749
SFTA2,1.227774938,5.019127631,11.29694388,1.87E-25,6.45E-24,47.03278594
GCNT3,1.736593781,7.097266968,11.27657138,2.21E-25,7.57E-24,46.86471759
LGALS1,1.116775507,9.214226209,11.27328689,2.27E-25,7.76E-24,46.83763451
LAMP5,1.471904464,5.988826524,11.27018234,2.33E-25,7.92E-24,46.81203854
ALOX5AP,1.204143828,7.564069832,11.25362934,2.68E-25,8.95E-24,46.6756201
ID1,1.122596643,6.800819178,11.16660924,5.53E-25,1.78E-23,45.9600066
KYNU,1.066109812,5.714978957,11.15430868,6.12E-25,1.97E-23,45.85906359
MX1,1.144868054,7.158220554,11.14400108,6.67E-25,2.13E-23,45.77451618
ESRRG,-1.083879969,4.556539996,-11.13657981,7.09E-25,2.25E-23,45.71366662
DHRS9,1.408662125,5.373323558,11.13636903,7.10E-25,2.25E-23,45.71193862
MMP12,1.987112391,5.439779967,11.13519678,7.17E-25,2.27E-23,45.70232879
TPM2,1.224811923,7.959706201,11.13374968,7.26E-25,2.29E-23,45.69046644
ASPN,1.301507741,8.777407806,11.11919539,8.19E-25,2.56E-23,45.57120122
FLNA,1.013697936,8.392337284,11.11607953,8.40E-25,2.62E-23,45.54567789
CDK1,1.063155983,4.878950426,11.09642662,9.89E-25,3.04E-23,45.38477131
EDIL3,1.194776597,5.051692362,11.04615808,1.50E-24,4.51E-23,44.97382196
COL4A2,1.064778791,8.628773203,11.02526986,1.78E-24,5.31E-23,44.80332294
TNFAIP6,1.564690452,5.861425904,10.9986226,2.22E-24,6.55E-23,44.58604222
BST2,1.057673181,6.681421422,10.98731066,2.44E-24,7.14E-23,44.49388205
PDGFRB,1.052253829,7.476195109,10.98494551,2.48E-24,7.27E-23,44.4746186
GPX2,1.614358299,6.825227068,10.96113579,3.02E-24,8.72E-23,44.28080796
MUCL3,2.091214571,5.328851193,10.94295288,3.51E-24,1.01E-22,44.13293734
IGFBP5,1.265494269,6.73533582,10.9380515,3.66E-24,1.05E-22,44.09309791
RGN,-1.252402261,5.456855778,-10.93754091,3.67E-24,1.05E-22,44.08894818
ACSL5,1.383899387,7.157322853,10.91339086,4.48E-24,1.27E-22,43.89278351
NT5E,1.16976954,5.157727083,10.90451752,4.82E-24,1.36E-22,43.82076094
ACADL,-1.60523741,5.245543511,-10.88110537,5.84E-24,1.62E-22,43.63086911
MT1G,-1.355431942,9.799533845,-10.87246208,6.27E-24,1.74E-22,43.56081568
PXDN,1.226713524,6.968901734,10.87220106,6.28E-24,1.74E-22,43.55870054
C2CD4B,-1.094001854,4.7822294,-10.79402614,1.19E-23,3.17E-22,42.92635716
LGALS2,-1.36038525,6.41914895,-10.79058265,1.23E-23,3.25E-22,42.8985556
DPP10,-1.448200094,3.868983689,-10.78708553,1.26E-23,3.34E-22,42.87032547
SLC43A1,-1.368957595,6.836065583,-10.77159259,1.43E-23,3.76E-22,42.74531558
SLC39A5,-1.466438228,6.073557685,-10.76150549,1.55E-23,4.05E-22,42.66397284
IFI6,1.080707821,7.135262382,10.74380307,1.80E-23,4.66E-22,42.52131219
TFF1,2.235533597,7.69038532,10.7097434,2.37E-23,6.05E-22,42.24716364
COL4A1,1.090324879,8.6819907,10.70796739,2.40E-23,6.13E-22,42.2328804
ANPEP,-2.049569416,8.050294876,-10.66524071,3.40E-23,8.42E-22,41.88962129
NUCB2,-1.237573956,8.863796615,-10.65730167,3.63E-23,8.96E-22,41.82591702
IL2RG,1.123612591,6.762381658,10.63459458,4.36E-23,1.07E-21,41.6438445
IL1R2,1.198519295,5.978562155,10.62111365,4.87E-23,1.17E-21,41.53584384
DACT1,1.048589918,6.194360052,10.6089537,5.37E-23,1.29E-21,41.43848613
KLF5,1.128577494,7.109150903,10.55411896,8.38E-23,1.95E-21,41.00016676
TCN1,2.10863535,7.371403518,10.55022875,8.64E-23,2.01E-21,40.96911487
GAS2,-1.067481468,5.154573233,-10.50152723,1.28E-22,2.90E-21,40.58087792
SLC16A10,-1.418346742,6.323097756,-10.4970827,1.33E-22,3.00E-21,40.54549353
MAL2,1.233717955,8.996244819,10.48082008,1.51E-22,3.41E-21,40.41608786
BACE1,-1.305654392,7.156275541,-10.45939185,1.80E-22,3.98E-21,40.24573766
S100A4,1.117005545,7.812226116,10.45765989,1.82E-22,4.03E-21,40.23197687
MT1M,-1.227390946,6.914246883,-10.44642647,2.00E-22,4.41E-21,40.14275385
CP,1.867765407,5.744643216,10.44053244,2.09E-22,4.60E-21,40.09595972
NCF2,1.15743292,6.521245851,10.43715325,2.15E-22,4.72E-21,40.06913777
GUCA1C,-1.696357911,3.843491024,-10.39139267,3.11E-22,6.68E-21,39.70636681
LUM,1.017974596,10.3596994,10.34501737,4.50E-22,9.45E-21,39.33958036
F8,-1.193466239,5.713249748,-10.32490294,5.29E-22,1.10E-20,39.18076372
ANXA1,1.219003329,9.68079729,10.31292682,5.82E-22,1.20E-20,39.08628245
RBPJL,-1.937729409,5.634257269,-10.31015657,5.95E-22,1.22E-20,39.06443584
GPHA2,-1.297728323,5.52252242,-10.30114953,6.39E-22,1.31E-20,38.99342666
PM20D1,-1.660202989,4.518495347,-10.28897755,7.05E-22,1.44E-20,38.89751848
MT1F,-1.10733978,8.743186209,-10.28635276,7.20E-22,1.47E-20,38.87684462
MUC16,1.15783608,4.099290196,10.27600687,7.82E-22,1.59E-20,38.79538374
FAM83D,1.128019569,4.713998277,10.26941619,8.24E-22,1.67E-20,38.74351323
GPNMB,1.213556897,6.902575928,10.26356016,8.63E-22,1.74E-20,38.69743963
ALB,-2.898572603,5.976225051,-10.24586594,9.94E-22,1.99E-20,38.55831201
F5,1.087661444,5.640149562,10.24241178,1.02E-21,2.04E-20,38.53116733
FBN1,1.390383769,8.031145303,10.23775359,1.06E-21,2.11E-20,38.4945686
TPST2,-1.205241641,7.754367162,-10.21771837,1.24E-21,2.43E-20,38.33725678
TMEM200A,1.057084956,5.942837528,10.21286926,1.29E-21,2.52E-20,38.29920768
VSIG1,1.56536841,4.310208976,10.18434274,1.62E-21,3.13E-20,38.07556841
MSN,1.006174951,9.058085994,10.18328154,1.63E-21,3.15E-20,38.06725542
AKAP7,-1.067994491,6.294320462,-10.15580782,2.03E-21,3.88E-20,37.85220224
MMP7,1.854963115,9.151895827,10.1495247,2.14E-21,4.06E-20,37.80306487
TMED6,-2.23808089,6.3938525,-10.13764741,2.35E-21,4.43E-20,37.71022314
PRRX1,1.013948944,6.031405917,10.12339569,2.63E-21,4.91E-20,37.59889933
CCDC110,-1.111766467,3.906284132,-10.02553123,5.69E-21,1.02E-19,36.8367746
PLXDC2,1.026735969,7.161405345,10.01804881,6.03E-21,1.08E-19,36.77867264
THY1,1.103946162,7.228866841,9.995824198,7.18E-21,1.26E-19,36.60623712
ALKAL2,-1.329218726,5.997956969,-9.972182683,8.65E-21,1.51E-19,36.4230414
CXCL5,1.030841055,4.475198082,9.946272883,1.06E-20,1.82E-19,36.22254617
BNIP3,-1.252216453,7.157177725,-9.942244749,1.09E-20,1.88E-19,36.19140178
TRIM31,1.303314676,4.248797313,9.916035946,1.34E-20,2.26E-19,35.98893491
INHBA,1.041174091,4.751738775,9.883949791,1.73E-20,2.88E-19,35.74147244
PAK3,-1.267605928,6.337592059,-9.873279869,1.88E-20,3.12E-19,35.65928118
SEMA3C,1.16642947,6.134671957,9.869357537,1.93E-20,3.20E-19,35.6290797
MMP1,1.949800018,6.254282959,9.851985207,2.22E-20,3.64E-19,35.49539621
GNMT,-1.849974651,5.254317051,-9.834799524,2.53E-20,4.14E-19,35.36327983
TMEM45B,1.186464455,5.854182657,9.80436197,3.21E-20,5.19E-19,35.12960908
EGF,-2.111649873,5.418386131,-9.7777815,3.95E-20,6.31E-19,34.92588586
PDIA2,-2.371165241,6.762234206,-9.760982277,4.50E-20,7.17E-19,34.79729243
NRG4,-1.500024676,4.273590561,-9.749045246,4.93E-20,7.82E-19,34.70599445
HMCN1,1.093426646,6.046556043,9.720858963,6.14E-20,9.60E-19,34.49067099
CXCL8,1.533594509,6.593093801,9.710705577,6.64E-20,1.03E-18,34.4131938
LAMA4,1.182218208,7.022627341,9.674879247,8.75E-20,1.33E-18,34.14018673
GPR87,1.008162875,3.452570397,9.666805494,9.32E-20,1.41E-18,34.07874267
CHRM3,-1.106876023,4.646514082,-9.638752141,1.16E-19,1.73E-18,33.86547738
NRCAM,-1.374879766,6.09779543,-9.622849072,1.31E-19,1.94E-18,33.74473958
F11,-1.359827971,4.179367842,-9.611094331,1.43E-19,2.11E-18,33.65557068
CKS2,1.036145604,5.779692326,9.606473251,1.48E-19,2.18E-18,33.62053352
MMP9,1.102734907,5.857215333,9.604081615,1.51E-19,2.21E-18,33.60240392
SERPINA1,1.093150404,8.71544118,9.565712137,2.03E-19,2.91E-18,33.31190679
KLK10,1.279545535,6.126376383,9.545747719,2.36E-19,3.37E-18,33.16102391
SFRP2,1.378687904,9.140034175,9.534553736,2.57E-19,3.67E-18,33.07650514
LINC00339,-1.081303385,5.635818813,-9.532464314,2.62E-19,3.72E-18,33.06073566
NR5A2,-1.887441836,6.670702351,-9.51701236,2.94E-19,4.15E-18,32.9441782
KRT23,1.346525298,5.242903423,9.514124664,3.01E-19,4.24E-18,32.922408
LOX,1.217704879,6.124769282,9.432853373,5.60E-19,7.57E-18,32.31130697
BIRC3,1.019874176,7.657467768,9.411746536,6.57E-19,8.83E-18,32.15310703
GRPR,-1.098430937,4.232415105,-9.366690964,9.25E-19,1.22E-17,31.81611302
IAPP,-2.322755445,6.219693714,-9.362076964,9.58E-19,1.26E-17,31.78165704
MUC13,1.503154264,6.306551746,9.353539939,1.02E-18,1.33E-17,31.71793186
SCNN1A,1.040374476,6.975016998,9.342116185,1.11E-18,1.44E-17,31.63271298
MFAP5,1.436154842,7.074408432,9.313127232,1.39E-18,1.77E-17,31.41674192
PSAT1,-1.206974982,5.683850235,-9.287868516,1.68E-18,2.12E-17,31.22889092
ST6GALNAC1,1.226934148,5.408005538,9.25222462,2.20E-18,2.72E-17,30.96432876
DPEP1,-1.157948649,6.415619773,-9.212263526,2.96E-18,3.63E-17,30.66845624
TCEA3,-1.073938795,7.433339097,-9.203317958,3.17E-18,3.87E-17,30.6023298
GBP3,1.068983715,6.892906422,9.17828428,3.82E-18,4.61E-17,30.41748681
EPB41L4B,-1.213662269,7.197840811,-9.142259851,5.01E-18,5.93E-17,30.15203095
NNMT,1.101651634,8.567368891,9.070764615,8.53E-18,9.76E-17,29.62710001
SERPINB2,1.243591216,4.818480124,9.015223316,1.29E-17,1.43E-16,29.22106546
AQP8,-2.072452143,6.108343327,-9.014964331,1.29E-17,1.43E-16,29.21917578
SYBU,-1.071000409,6.645934775,-9.014656555,1.29E-17,1.43E-16,29.21693014
MOXD1,1.105594898,7.136142499,8.967100663,1.84E-17,1.99E-16,28.87052014
TSPAN8,1.515714603,9.155384005,8.947197222,2.13E-17,2.30E-16,28.72587806
ADAM12,1.19004912,5.766409591,8.9338804,2.35E-17,2.51E-16,28.62921466
KLK1,-2.098745503,7.556643192,-8.922177149,2.56E-17,2.73E-16,28.54433837
ERP27,-2.575134684,7.795749851,-8.891833572,3.20E-17,3.34E-16,28.32460155
SERPINI2,-2.742993552,6.35762093,-8.870111493,3.76E-17,3.89E-16,28.16758829
RGS1,1.19004179,7.280204185,8.805903026,6.01E-17,6.06E-16,27.70489399
RAB25,1.011369957,6.931465107,8.787997513,6.85E-17,6.86E-16,27.57624562
C19orf33,1.205246669,7.297729199,8.763780636,8.17E-17,8.11E-16,27.40251679
MACC1,1.005629874,6.627304247,8.728511382,1.06E-16,1.03E-15,27.15004821
SERPINB3,1.434735461,3.836000258,8.725272525,1.08E-16,1.05E-15,27.12689615
FGL1,-1.877937424,5.732889459,-8.72507464,1.08E-16,1.05E-15,27.1254818
HOMER2,-1.2309699,5.807381523,-8.70925742,1.21E-16,1.16E-15,27.01249777
DUOX2,1.642962085,5.985331967,8.619697282,2.32E-16,2.14E-15,26.37525571
CTRL,-2.583886138,7.670551682,-8.549140602,3.86E-16,3.41E-15,25.87624032
SFRP4,1.474394648,7.994108421,8.540143412,4.11E-16,3.62E-15,25.81279969
S100A2,1.141702346,4.850646006,8.514530434,4.94E-16,4.29E-15,25.63243799
PBLD,-1.016147318,5.535784867,-8.457123209,7.44E-16,6.28E-15,25.22948061
RARRES1,1.042347362,6.132930127,8.42355869,9.45E-16,7.81E-15,24.99471506
SLC17A4,-1.029187189,3.975596115,-8.40529618,1.08E-15,8.80E-15,24.86723834
PLS1,1.136542381,7.504108895,8.382178822,1.27E-15,1.03E-14,24.70613692
CYP2C18,1.250585345,4.95681065,8.275171588,2.70E-15,2.07E-14,23.96427879
IGFBP2,-1.047005293,7.939843982,-8.271960725,2.76E-15,2.11E-14,23.94211726
BEX1,-1.221053286,7.184977581,-8.254878011,3.11E-15,2.37E-14,23.82430884
CXCL10,1.090980433,5.56689407,8.241526228,3.41E-15,2.58E-14,23.73234441
SCGN,-1.357499746,6.390526851,-8.207846485,4.32E-15,3.22E-14,23.50081141
IL22RA1,-1.195909656,6.156551641,-8.188830292,4.93E-15,3.64E-14,23.37036693
PLA2G7,1.051495564,6.379057332,8.174068867,5.47E-15,4.00E-14,23.26925005
CCL18,1.258609359,6.490091974,8.168630487,5.68E-15,4.14E-14,23.23202793
LYZ,1.385508191,9.195481719,8.150363624,6.45E-15,4.66E-14,23.10712656
SLC26A9,1.008018594,4.61326776,8.11647394,8.16E-15,5.81E-14,22.87590696
PNLIPRP1,-2.904068185,8.006445891,-7.993144185,1.91E-14,1.27E-13,22.04003917
PNLIPRP2,-2.826093163,8.589373499,-7.988772499,1.97E-14,1.31E-13,22.01057177
ADH1B,-1.266232561,7.333233182,-7.936734962,2.81E-14,1.83E-13,21.66066918
GRB14,-1.088203544,5.249595903,-7.920818693,3.14E-14,2.03E-13,21.55396434
GP2,-2.678188444,8.818334291,-7.808234726,6.74E-14,4.11E-13,20.80345783
KRT6A,1.194584089,4.151338765,7.807789229,6.76E-14,4.13E-13,20.80050301
SLCO1B3,1.037815301,3.608463877,7.753743592,9.73E-14,5.79E-13,20.44291924
KCNJ16,-1.549289389,6.065853501,-7.693570705,1.46E-13,8.48E-13,20.04686159
CELA2B,-2.413255024,7.821879494,-7.626924876,2.27E-13,1.28E-12,19.61075968
MUC1,1.093827373,8.645688026,7.618064715,2.41E-13,1.35E-12,19.55298641
SULT1C2,1.139505271,5.252371483,7.603792943,2.65E-13,1.47E-12,19.46002736
EPYC,1.212856966,4.272620611,7.553458683,3.70E-13,2.01E-12,19.13317347
IMPA2,-1.008140711,7.359607534,-7.549242607,3.80E-13,2.06E-12,19.10586645
LGALS4,1.24677821,8.273023158,7.461541904,6.77E-13,3.54E-12,18.54033516
HPGD,1.101976294,5.986903545,7.421102953,8.82E-13,4.53E-12,18.28118076
SLC4A4,-1.46359195,6.846793957,-7.345583616,1.44E-12,7.17E-12,17.79996171
MUC17,1.230203448,4.632600772,7.302878664,1.90E-12,9.30E-12,17.52943557
C6,-1.192374777,6.44240077,-7.260037744,2.50E-12,1.20E-11,17.25921385
CTRC,-2.548148075,8.72633791,-7.255946492,2.57E-12,1.23E-11,17.23346932
CPA2,-2.593923446,9.247623958,-7.237541881,2.89E-12,1.38E-11,17.11778939
TMEM97,-1.137488861,7.098115443,-7.152715941,4.98E-12,2.28E-11,16.58744134
ARL14,1.057511964,6.373960893,7.012177146,1.21E-11,5.22E-11,15.71904753
CELP,-1.978384903,7.377813161,-6.993521071,1.36E-11,5.82E-11,15.6047445
CYP3A5,1.040910793,6.948024561,6.933332098,1.98E-11,8.30E-11,15.23754442
SPP1,1.018257206,6.705596081,6.807691628,4.30E-11,1.71E-10,14.47881879
FAM3B,-1.206253193,7.666569595,-6.717212801,7.47E-11,2.86E-10,13.93901483
CLPS,-2.384731361,9.296351904,-6.682413662,9.23E-11,3.47E-10,13.73288254
GATM,-1.128790755,5.88218568,-6.674499324,9.68E-11,3.62E-10,13.68611756
AZGP1,-1.15370214,7.13212138,-6.630048143,1.27E-10,4.65E-10,13.42425818
TFF2,1.251968569,6.801654764,6.574287082,1.77E-10,6.36E-10,13.09769616
PRSS3,-1.515015184,8.926310398,-6.544606874,2.11E-10,7.51E-10,12.9247524
CEL,-2.362770556,9.259468169,-6.532502693,2.27E-10,8.03E-10,12.85439802
REG1CP,-1.758339944,6.837169074,-6.410342781,4.68E-10,1.58E-09,12.15008181
SYCN,-1.92998383,8.397158355,-6.350803798,6.63E-10,2.19E-09,11.81061179
PLA2G1B,-2.285849524,9.499493702,-6.334082327,7.30E-10,2.40E-09,11.71572347
CELA3B,-2.009368322,9.382135633,-6.161373209,1.97E-09,6.12E-09,10.74734836
CELA3A,-2.107576139,9.86799223,-6.075692139,3.21E-09,9.64E-09,10.27492172
DMBT1,1.096040133,6.32239681,5.822418445,1.31E-08,3.63E-08,8.909933211
CPA1,-2.030020811,9.5381835,-5.576217666,4.91E-08,1.26E-07,7.629077499
REG1A,-1.62793445,10.29688302,-5.57148761,5.03E-08,1.29E-07,7.604920855
GC,-1.038327445,6.014139586,-5.510498693,6.93E-08,1.75E-07,7.294986569
PNLIP,-1.942895054,10.01453994,-5.382317991,1.35E-07,3.26E-07,6.652964736
REG1B,-1.897833737,9.229753137,-5.349285482,1.59E-07,3.81E-07,6.489585521
FABP4,-1.12677485,6.60038024,-5.247845818,2.67E-07,6.19E-07,5.993212056
SLC3A1,-1.036871861,7.545948845,-5.068918825,6.48E-07,1.45E-06,5.137523059
OLFM4,1.153600735,9.040355163,4.887490391,1.56E-06,3.30E-06,4.296091384
REG4,1.086771775,5.234068618,4.879238476,1.62E-06,3.43E-06,4.258454807
CPB1,-1.670027103,10.08571986,-4.877956007,1.63E-06,3.45E-06,4.252610508
PRSS2,-1.236794062,9.821887825,-4.820318194,2.14E-06,4.46E-06,3.991337187
CFTR,-1.12374995,8.290585639,-4.650844925,4.69E-06,9.39E-06,3.238917679
REG3G,-1.13904277,5.902018815,-4.575995902,6.58E-06,1.29E-05,2.914177009
REG3A,-1.373183741,8.244489005,-4.18704535,3.58E-05,6.47E-05,1.302577641
