ID,logFC
LAMC2,3.324577397
LAMB3,3.0898215
TSPAN1,3.023457246
ASAP2,2.908944257
MBOAT2,2.88971374
TMPRSS4,2.655864621
SLC6A14,2.588417591
NOX4,2.50198875
SULF1,2.418822343
ITGA2,2.393023058
SLPI,2.387581945
CAPG,2.373101673
KRT19,2.342133349
COL11A1,2.331577603
CDH3,2.305955966
COL10A1,2.286658325
CTSE,2.261834202
MYOF,2.248686868
ECT2,2.235533597
MLPH,2.231697024
FGD6,2.19940389
PKM,2.163818797
MET,2.133255485
KCNN4,2.10863535
APOL1,2.091214571
S100A16,2.065147881
GALNT5,2.062029227
HK2,2.030533015
TRIM59,2.017320659
FN1,1.99638062
NQO1,1.987112391
ITGA3,1.98308638
TRIM29,1.980645985
AMIGO2,1.961834617
SDC1,1.949800018
CEACAM6,1.943344779
THBS2,1.927859595
ANTXR1,1.927714729
STYK1,1.91535629
MYO1E,1.909647018
S100A11,1.901051712
OSBPL3,1.874538109
IFI27,1.867765407
CD9,1.854963115
NHS,1.853917474
NTM,1.851587096
PLEK2,1.8275933
S100A6,1.773008888
PLPP4,1.763964758
FERMT1,1.763520758
GPRC5A,1.753028068
TRIM16,1.749671119
FBXO32,1.744811007
PLAU,1.736593781
IL1RAP,1.714677602
VCAN,1.70219321
SDR16C5,1.697127405
SGIP1,1.686520736
CEACAM5,1.676811652
LY6E,1.676510937
EDNRA,1.673800418
GJB2,1.67120415
IGFBP3,1.656512772
ITGB4,1.649635195
CDH11,1.642962085
S100A10,1.639719601
ADAM9,1.630030416
MST1R,1.614358299
MMP11,1.58711771
ANO1,1.580954541
TNFSF4,1.580717021
ERO1A,1.567287349
P4HA1,1.56536841
TMSB10,1.564690452
COL12A1,1.55924625
CD109,1.551383358
ANLN,1.547297484
ENO2,1.541291423
PFKP,1.535722675
CST1,1.533594509
FXYD3,1.532087275
ACTN1,1.529567144
RAI14,1.515714603
EPHX2,1.508614494
COL17A1,1.506176966
COL5A2,1.503154264
CTHRC1,1.502483413
SPOCK1,1.499201588
SFN,1.499029785
COL8A1,1.496508584
S100P,1.493738335
AEBP1,1.490160312
SAMD9,1.48842381
XAF1,1.486900439
SLC6A6,1.483663011
EFNB2,1.476861574
EGLN3,1.474394648
CST2,1.473091914
AGR2,1.471904464
JPT1,1.469511539
DDX60,1.468607762
EPHX1,1.468599417
MYRIP,1.462530345
FOXQ1,1.462512779
ABHD17C,1.454275587
MTMR11,1.454126612
FAP,1.452055483
NUAK1,1.443914597
IL1RN,1.442732175
LTBP1,1.436154842
PCDH7,1.434991756
TMC5,1.434735461
CD55,1.428174437
COL1A2,1.422534141
MXRA5,1.41667883
BGN,1.408662125
BHLHE40,1.390383769
LGALS3BP,1.389193185
TGM2,1.385508191
PLAUR,1.383899387
PDK4,1.383426335
RAB31,1.378687904
AHNAK2,1.366990073
NPC1,1.365716753
AHR,1.356674341
CCDC141,1.351543512
MFAP2,1.346525298
LDHA,1.339103468
OCIAD2,1.334940967
LIPH,1.328421673
MGLL,1.321515131
AOX1,1.317224253
BTG2,1.311390117
IGFL2,1.303744972
SHISA2,1.303314676
DKK1,1.301507741
GPX8,1.301306929
SGPP2,1.300743963
MELK,1.297682213
ADAM28,1.290838047
PLAT,1.282230127
ERO1B,1.279545535
SKAP2,1.277533745
ANOS1,1.265494269
LRRN1,1.263484183
SLC2A1,1.262223801
PMEPA1,1.258609359
NPR3,1.254075551
TNFRSF21,1.25329269
OAS1,1.251968569
SRPX2,1.250884258
MCOLN3,1.250585345
OAS2,1.249141063
ECM1,1.24677821
GABRP,1.243780639
COMP,1.243591216
ARL4C,1.235555821
TFAP2A,1.234907858
NMU,1.233717955
MSLN,1.231779534
FNDC1,1.231739605
BCAS1,1.230203448
COL3A1,1.227774938
COL1A1,1.227106048
COL5A1,1.226934148
TOP2A,1.226713524
TGFBI,1.22667395
TPX2,1.226042436
SLC39A10,1.225617669
RSAD2,1.224811923
CLDN18,1.224212349
FHL2,1.223568652
TTN,1.219003329
CCNB1,1.217704879
SULF2,1.214873496
SEC11C,1.214688922
ANXA3,1.214666021
SLC16A4,1.213556897
CORIN,1.212856966
EPSTI1,1.212598706
FRMD6,1.209986035
PTPRR,1.206440683
LOXL1,1.205463766
LIFR,1.205426583
CRIP1,1.205246669
POSTN,1.204143828
ANKRD22,1.20344488
MX2,1.203183493
SPARC,1.198519295
TIMP1,1.194776597
COL6A3,1.194584089
MATN3,1.19004912
ASPM,1.19004179
DPYSL3,1.186464455
CTSB,1.18574108
SERPINB5,1.185698056
S100A14,1.185405817
ANXA10,1.18400624
PLAC8,1.182218208
CCL20,1.181371351
DLGAP5,1.178276001
EPHA4,1.174895039
SERPINH1,1.16976954
PAIP2B,1.16642947
SLC22A3,1.165224804
OLR1,1.164208393
TRHDE,1.160857589
PI3,1.15783608
IFI44,1.15743292
ACTA2,1.153600735
CENPK,1.152730186
CEP55,1.151469032
VILL,1.14598435
SLC7A2,1.145041769
KLB,1.144868054
IFI44L,1.144264849
CEACAM1,1.141702346
P2RX1,1.139505271
CTSK,1.136542381
LCN2,1.13643602
GREM1,1.13574799
ENTPD1,1.13433197
C5,1.132073078
TMPRSS3,1.130116729
MALL,1.128577494
LEMD1,1.128019569
OLFML2B,1.126569165
SFTA2,1.125643805
GCNT3,1.123612591
LGALS1,1.122596643
LAMP5,1.118806885
ALOX5AP,1.117805877
ID1,1.117173856
KYNU,1.117005545
MX1,1.116775507
ESRRG,1.11586793
DHRS9,1.115789582
MMP12,1.114977729
TPM2,1.114378104
ASPN,1.11362045
FLNA,1.108221992
CDK1,1.105594898
EDIL3,1.103946162
COL4A2,1.102734907
TNFAIP6,1.102071836
BST2,1.101976294
PDGFRB,1.101651634
GPX2,1.100729805
MUCL3,1.099499728
IGFBP5,1.099275437
RGN,1.098914707
ACSL5,1.096040133
NT5E,1.093827373
ACADL,1.093426646
MT1G,1.093150404
PXDN,1.092898297
C2CD4B,1.092352359
LGALS2,1.090980433
DPP10,1.090324879
SLC43A1,1.09001932
SLC39A5,1.087661444
IFI6,1.086771775
TFF1,1.08098962
COL4A1,1.080707821
ANPEP,1.080629394
NUCB2,1.079792145
IL2RG,1.074341595
IL1R2,1.073268606
DACT1,1.068983715
KLF5,1.066109812
TCN1,1.065069332
GAS2,1.064941087
SLC16A10,1.064778791
MAL2,1.063155983
BACE1,1.063021019
S100A4,1.061566761
MT1M,1.060764461
CP,1.059390317
NCF2,1.057673181
GUCA1C,1.057511964
LUM,1.057368545
F8,1.057084956
ANXA1,1.056969508
RBPJL,1.056135728
GPHA2,1.053530205
PM20D1,1.052253829
MT1F,1.051495564
MUC16,1.050118712
FAM83D,1.048589918
GPNMB,1.042997577
ALB,1.042347362
F5,1.041174091
FBN1,1.040910793
TPST2,1.040374476
TMEM200A,1.038982428
VSIG1,1.037815301
MSN,1.036145604
AKAP7,1.031009769
MMP7,1.030841055
TMED6,1.030720796
PRRX1,1.030301888
CCDC110,1.030140118
PLXDC2,1.029678493
THY1,1.026735969
ALKAL2,1.026325672
CXCL5,1.019874176
BNIP3,1.018257206
TRIM31,1.017974596
INHBA,1.013948944
PAK3,1.013697936
SEMA3C,1.011369957
MMP1,1.008594665
GNMT,1.008162875
TMEM45B,1.008018594
EGF,1.006174951
PDIA2,1.005629874
NRG4,1.005567468
HMCN1,1.001435221
CXCL8,1.000995875
LAMA4,-1.004161772
GPR87,-1.006855619
CHRM3,-1.008140711
NRCAM,-1.009305337
F11,-1.016147318
CKS2,-1.026056023
MMP9,-1.029187189
SERPINA1,-1.030092527
KLK10,-1.036871861
SFRP2,-1.038327445
LINC00339,-1.047005293
NR5A2,-1.056183824
KRT23,-1.067481468
LOX,-1.067994491
BIRC3,-1.071000409
GRPR,-1.073938795
IAPP,-1.076861325
MUC13,-1.081303385
SCNN1A,-1.081986107
MFAP5,-1.083879969
PSAT1,-1.088203544
ST6GALNAC1,-1.094001854
DPEP1,-1.098430937
TCEA3,-1.106876023
GBP3,-1.10733978
EPB41L4B,-1.111766467
NNMT,-1.12374995
SERPINB2,-1.12677485
AQP8,-1.128425046
SYBU,-1.128790755
MOXD1,-1.137488861
TSPAN8,-1.13904277
ADAM12,-1.15370214
KLK1,-1.155544033
ERP27,-1.157948649
SERPINI2,-1.192374777
RGS1,-1.193466239
RAB25,-1.195909656
C19orf33,-1.205241641
MACC1,-1.206253193
SERPINB3,-1.206974982
FGL1,-1.213662269
HOMER2,-1.221053286
DUOX2,-1.227390946
CTRL,-1.2309699
SFRP4,-1.236794062
S100A2,-1.237573956
PBLD,-1.242711733
RARRES1,-1.252216453
SLC17A4,-1.252402261
PLS1,-1.266232561
CYP2C18,-1.267605928
IGFBP2,-1.271548152
BEX1,-1.297728323
CXCL10,-1.305654392
SCGN,-1.329218726
IL22RA1,-1.355431942
PLA2G7,-1.357499746
CCL18,-1.359827971
LYZ,-1.36038525
SLC26A9,-1.368957595
PNLIPRP1,-1.373183741
PNLIPRP2,-1.374879766
ADH1B,-1.380692676
GRB14,-1.418346742
GP2,-1.448200094
KRT6A,-1.46359195
SLCO1B3,-1.466438228
KCNJ16,-1.500024676
CELA2B,-1.515015184
MUC1,-1.549289389
SULT1C2,-1.60523741
EPYC,-1.62793445
IMPA2,-1.660202989
LGALS4,-1.670027103
HPGD,-1.696357911
SLC4A4,-1.752569448
MUC17,-1.753529361
C6,-1.758339944
CTRC,-1.795452952
CPA2,-1.831242005
TMEM97,-1.849974651
ARL14,-1.877937424
CELP,-1.883662561
CYP3A5,-1.887441836
SPP1,-1.897833737
FAM3B,-1.92998383
CLPS,-1.937729409
GATM,-1.942895054
AZGP1,-1.978384903
TFF2,-2.009368322
PRSS3,-2.030020811
CEL,-2.049569416
REG1CP,-2.072452143
SYCN,-2.098745503
PLA2G1B,-2.107576139
CELA3B,-2.111649873
CELA3A,-2.23808089
DMBT1,-2.285849524
CPA1,-2.322755445
REG1A,-2.362770556
GC,-2.371165241
PNLIP,-2.384731361
REG1B,-2.413255024
FABP4,-2.548148075
SLC3A1,-2.575134684
OLFM4,-2.583886138
REG4,-2.593923446
CPB1,-2.678188444
PRSS2,-2.742993552
CFTR,-2.826093163
REG3G,-2.898572603
REG3A,-2.904068185
