Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
0,189,0,161,0,1,1,0.54,1,0.46,0.701299,1,1,0
1,189,0,124,37,0.770186,1,0.603834,1,0.396166,0.752988,0.894286,1.118211,0.01
2,188,1,115,46,0.714286,0.994709,0.620462,0.994709,0.379538,0.764228,0.865714,1.149004,0.02
3,188,1,107,54,0.664596,0.994709,0.637288,0.994709,0.362712,0.77686,0.842857,1.180163,0.03
4,188,1,104,57,0.645963,0.994709,0.643836,0.994709,0.356164,0.781705,0.834286,1.192288,0.04
5,188,1,100,61,0.621118,0.994709,0.652778,0.994709,0.347222,0.78826,0.822857,1.208848,0.05
6,188,1,98,63,0.608696,0.994709,0.657343,0.994709,0.342657,0.791579,0.817143,1.217301,0.06
7,188,1,94,67,0.583851,0.994709,0.666667,0.994709,0.333333,0.798301,0.805714,1.234568,0.09
8,188,1,92,69,0.571429,0.994709,0.671429,0.994709,0.328571,0.801706,0.8,1.243386,0.1
9,188,1,87,74,0.540373,0.994709,0.683636,0.994709,0.316364,0.810345,0.785714,1.265993,0.11
10,188,1,82,79,0.509317,0.994709,0.696296,0.994709,0.303704,0.819172,0.771429,1.289438,0.12
11,188,1,78,83,0.484472,0.994709,0.706767,0.994709,0.293233,0.826374,0.76,1.308828,0.13
12,188,1,76,85,0.47205,0.994709,0.712121,0.994709,0.287879,0.830022,0.754286,1.318743,0.14
13,188,1,74,87,0.459627,0.994709,0.717557,0.994709,0.282443,0.833703,0.748571,1.32881,0.16
14,187,2,72,89,0.447205,0.989418,0.722008,0.989418,0.277992,0.834821,0.74,1.337051,0.17
15,187,2,70,91,0.434783,0.989418,0.727626,0.989418,0.272374,0.838565,0.734286,1.347456,0.18
16,187,2,67,94,0.416149,0.989418,0.73622,0.989418,0.26378,0.844244,0.725714,1.363371,0.2
17,187,2,64,97,0.397516,0.989418,0.74502,0.989418,0.25498,0.85,0.717143,1.379667,0.21
18,187,2,62,99,0.385093,0.989418,0.751004,0.989418,0.248996,0.853881,0.711429,1.390748,0.22
19,187,2,59,102,0.36646,0.989418,0.760163,0.989418,0.239837,0.85977,0.702857,1.407709,0.23
20,187,2,56,105,0.347826,0.989418,0.769547,0.989418,0.230453,0.865741,0.694286,1.425088,0.24
21,186,3,54,107,0.335404,0.984127,0.775,0.984127,0.225,0.867133,0.685714,1.435185,0.26
22,186,3,53,108,0.329193,0.984127,0.778243,0.984127,0.221757,0.869159,0.682857,1.44119,0.27
23,185,4,50,111,0.310559,0.978836,0.787234,0.978836,0.212766,0.872642,0.671429,1.457841,0.28
24,184,5,48,113,0.298137,0.973545,0.793103,0.973545,0.206897,0.874109,0.662857,1.46871,0.29
25,182,7,48,113,0.298137,0.962963,0.791304,0.962963,0.208696,0.868735,0.657143,1.465378,0.3
26,182,7,44,117,0.273292,0.962963,0.80531,0.962963,0.19469,0.877108,0.645714,1.491314,0.31
27,182,7,43,118,0.267081,0.962963,0.808889,0.962963,0.191111,0.879227,0.642857,1.497942,0.32
28,182,7,42,119,0.26087,0.962963,0.8125,0.962963,0.1875,0.881356,0.64,1.50463,0.33
29,182,7,41,120,0.254658,0.962963,0.816143,0.962963,0.183857,0.883495,0.637143,1.511377,0.34
30,182,7,38,123,0.236025,0.962963,0.827273,0.962963,0.172727,0.889976,0.628571,1.531987,0.35
31,181,8,36,125,0.223602,0.957672,0.834101,0.957672,0.165899,0.891626,0.62,1.544632,0.36
32,181,8,35,126,0.217391,0.957672,0.837963,0.957672,0.162037,0.893827,0.617143,1.551783,0.37
33,180,9,35,126,0.217391,0.952381,0.837209,0.952381,0.162791,0.891089,0.614286,1.550388,0.38
34,180,9,33,128,0.204969,0.952381,0.84507,0.952381,0.15493,0.895522,0.608571,1.564945,0.39
35,180,9,29,132,0.180124,0.952381,0.861244,0.952381,0.138756,0.904523,0.597143,1.594896,0.4
36,180,9,27,134,0.167702,0.952381,0.869565,0.952381,0.130435,0.909091,0.591429,1.610306,0.41
37,180,9,26,135,0.161491,0.952381,0.873786,0.952381,0.126214,0.911392,0.588571,1.618123,0.44
38,180,9,25,136,0.15528,0.952381,0.878049,0.952381,0.121951,0.913706,0.585714,1.626016,0.45
39,180,9,24,137,0.149068,0.952381,0.882353,0.952381,0.117647,0.916031,0.582857,1.633987,0.47
40,179,10,23,138,0.142857,0.94709,0.886139,0.94709,0.113861,0.915601,0.577143,1.640997,0.48
41,178,11,22,139,0.136646,0.941799,0.89,0.941799,0.11,0.915167,0.571429,1.648148,0.49
42,177,12,21,140,0.130435,0.936508,0.893939,0.936508,0.106061,0.914729,0.565714,1.655443,0.5
43,177,12,20,141,0.124224,0.936508,0.898477,0.936508,0.101523,0.917098,0.562857,1.663847,0.52
44,176,13,20,141,0.124224,0.931217,0.897959,0.931217,0.102041,0.914286,0.56,1.662887,0.53
45,170,19,20,141,0.124224,0.899471,0.894737,0.899471,0.105263,0.897098,0.542857,1.65692,0.54
46,169,20,19,142,0.118012,0.89418,0.898936,0.89418,0.101064,0.896552,0.537143,1.664697,0.55
47,168,21,18,143,0.111801,0.888889,0.903226,0.888889,0.096774,0.896,0.531429,1.67264,0.57
48,166,23,18,143,0.111801,0.878307,0.902174,0.878307,0.097826,0.89008,0.525714,1.670692,0.58
49,165,24,18,143,0.111801,0.873016,0.901639,0.873016,0.098361,0.887097,0.522857,1.669702,0.59
50,163,26,17,144,0.10559,0.862434,0.905556,0.862434,0.094444,0.883469,0.514286,1.676955,0.6
51,162,27,17,144,0.10559,0.857143,0.905028,0.857143,0.094972,0.880435,0.511429,1.675978,0.61
52,160,29,15,146,0.093168,0.846561,0.914286,0.846561,0.085714,0.879121,0.5,1.693122,0.62
53,157,32,15,146,0.093168,0.830688,0.912791,0.830688,0.087209,0.869806,0.491429,1.690353,0.63
54,154,35,15,146,0.093168,0.814815,0.911243,0.814815,0.088757,0.860335,0.482857,1.687486,0.64
55,152,37,13,148,0.080745,0.804233,0.921212,0.804233,0.078788,0.858757,0.471429,1.705948,0.65
56,150,39,13,148,0.080745,0.793651,0.920245,0.793651,0.079755,0.852273,0.465714,1.704158,0.67
57,148,41,13,148,0.080745,0.783069,0.919255,0.783069,0.080745,0.845714,0.46,1.702323,0.68
58,146,43,12,149,0.074534,0.772487,0.924051,0.772487,0.075949,0.841499,0.451429,1.711205,0.69
59,143,46,11,150,0.068323,0.756614,0.928571,0.756614,0.071429,0.833819,0.44,1.719577,0.7
60,140,49,10,151,0.062112,0.740741,0.933333,0.740741,0.066667,0.825959,0.428571,1.728395,0.71
61,138,51,9,152,0.055901,0.730159,0.938776,0.730159,0.061224,0.821429,0.42,1.738473,0.72
62,136,53,8,153,0.049689,0.719577,0.944444,0.719577,0.055556,0.816817,0.411429,1.748971,0.73
63,133,56,8,153,0.049689,0.703704,0.943262,0.703704,0.056738,0.806061,0.402857,1.746782,0.74
64,131,58,8,153,0.049689,0.693122,0.942446,0.693122,0.057554,0.79878,0.397143,1.74527,0.75
65,127,62,7,154,0.043478,0.671958,0.947761,0.671958,0.052239,0.786378,0.382857,1.755113,0.76
66,124,65,7,154,0.043478,0.656085,0.946565,0.656085,0.053435,0.775,0.374286,1.752898,0.77
67,123,66,7,154,0.043478,0.650794,0.946154,0.650794,0.053846,0.77116,0.371429,1.752137,0.78
68,119,70,7,154,0.043478,0.62963,0.944444,0.62963,0.055556,0.755556,0.36,1.748971,0.79
69,119,70,6,155,0.037267,0.62963,0.952,0.62963,0.048,0.757962,0.357143,1.762963,0.8
70,114,75,6,155,0.037267,0.603175,0.95,0.603175,0.05,0.737864,0.342857,1.759259,0.81
71,110,79,6,155,0.037267,0.582011,0.948276,0.582011,0.051724,0.721311,0.331429,1.756066,0.83
72,104,85,6,155,0.037267,0.550265,0.945455,0.550265,0.054545,0.695652,0.314286,1.750842,0.84
73,102,87,6,155,0.037267,0.539683,0.944444,0.539683,0.055556,0.686869,0.308571,1.748971,0.86
74,96,93,6,155,0.037267,0.507937,0.941176,0.507937,0.058824,0.659794,0.291429,1.742919,0.87
75,92,97,6,155,0.037267,0.486772,0.938776,0.486772,0.061224,0.641115,0.28,1.738473,0.88
76,85,104,6,155,0.037267,0.449735,0.934066,0.449735,0.065934,0.607143,0.26,1.729752,0.89
77,78,111,5,156,0.031056,0.412698,0.939759,0.412698,0.060241,0.573529,0.237143,1.740295,0.9
78,71,118,5,156,0.031056,0.375661,0.934211,0.375661,0.065789,0.535849,0.217143,1.730019,0.91
79,65,124,5,156,0.031056,0.343915,0.928571,0.343915,0.071429,0.501931,0.2,1.719577,0.92
80,63,126,5,156,0.031056,0.333333,0.926471,0.333333,0.073529,0.490272,0.194286,1.715686,0.93
81,58,131,4,157,0.024845,0.306878,0.935484,0.306878,0.064516,0.462151,0.177143,1.732378,0.94
82,49,140,3,158,0.018634,0.259259,0.942308,0.259259,0.057692,0.406639,0.148571,1.745014,0.95
83,47,142,3,158,0.018634,0.248677,0.94,0.248677,0.06,0.393305,0.142857,1.740741,0.96
84,38,151,2,159,0.012422,0.201058,0.95,0.201058,0.05,0.331878,0.114286,1.759259,0.97
85,33,156,2,159,0.012422,0.174603,0.942857,0.174603,0.057143,0.294643,0.1,1.746032,0.98
86,27,162,1,160,0.006211,0.142857,0.964286,0.142857,0.035714,0.248848,0.08,1.785714,0.99
87,11,178,0,161,0,0.058201,1,0.058201,0,0.11,0.031429,1.851852,1
88,0,189,0,161,0,0,?,0,?,?,0,?,1.00001
